4.1v,4.1i,4.2v,4.2i,4.3v,4.3i,4.4v,4.4i,4.5v,4.5i,4.6v,4.6i,4.7v,4.7i,4.8v,4.8i,4.9v,4.9i,5.0v,5.0i
1.486093981,-2.79E-04,1.438321181,-1.73E-03,1.326323219,-1.90E-02,1.394114687,-5.56E-03,1.391360666,-5.99E-03,1.376531418,-0.008437066,1.386985989,-6.75E-03,1.378653092,-0.008204354,1.467163308,-7.38E-04,1.40385113,-0.0046369
1.460692786,-8.43E-04,1.423878635,-2.59E-03,1.314193627,-2.09E-02,1.381365211,-7.43E-03,1.378714696,-7.97E-03,1.365247997,-0.010672644,1.373990736,-9.00E-03,1.366484522,-0.010618026,1.445728423,-0.001494314,1.387980971,-0.006761712
1.437929755,-1.73E-03,1.409436088,-3.76E-03,1.302064035,-2.16E-02,1.369890683,-9.49E-03,1.367333324,-1.01E-02,1.353964577,-0.013246969,1.362338987,-1.14E-02,1.355532809,-1.32E-02,1.424293538,-2.73E-03,1.37449724,-0.009134438
1.419240255,-2.89E-03,1.396437796,-5.16E-03,1.289934444,-2.03E-02,1.358416154,-1.19E-02,1.355951951,-1.26E-02,1.342681157,-0.016059395,1.351852413,-1.39E-02,1.344581096,-1.60E-02,1.405871324,-4.38E-03,1.362361882,-0.011757589
1.403277499,-4.32E-03,1.383439504,-6.96E-03,1.285303328,-1.92E-02,1.346941626,-1.46E-02,1.344570579,-1.54E-02,1.331397736,-1.89E-02,1.341365839,-1.66E-02,1.333629383,-1.89E-02,1.390195973,-6.37E-03,1.351440061,-1.45E-02
1.389126473,-6.04E-03,1.371741041,-8.94E-03,1.280672213,-1.79E-02,1.335467098,-1.73E-02,1.333189206,-1.82E-02,1.320114316,-2.14E-02,1.330879265,-1.93E-02,1.32267767,-2.16E-02,1.376808517,-8.61E-03,1.340518239,-1.75E-02
1.376390549,-7.99E-03,1.360042578,-1.13E-02,1.276504209,-1.65E-02,1.323992569,-1.98E-02,1.321807834,-2.07E-02,1.308830896,-2.31E-02,1.32039269,-2.17E-02,1.311203033,-2.38E-02,1.364759807,-1.11E-02,1.329596417,-2.05E-02
1.363654626,-1.03E-02,1.348344115,-1.38E-02,1.272753005,-1.51E-02,1.312425804,-2.16E-02,1.310426461,-2.24E-02,1.297547475,-2.33E-02,1.309906116,-2.35E-02,1.299728396,-2.47E-02,1.353915968,-1.37E-02,1.318674595,-2.33E-02
1.350918702,-1.30E-02,1.336645652,-1.65E-02,1.269376922,-1.37E-02,1.300859038,-2.22E-02,1.299045089,-2.28E-02,1.286264055,-2.18E-02,1.299419542,-2.40E-02,1.288253758,-2.37E-02,1.343072128,-1.66E-02,1.307887076,-2.52E-02
1.338182778,-1.58E-02,1.324947189,-1.89E-02,1.266338447,-1.24E-02,1.289292272,-2.09E-02,1.287663716,-2.13E-02,1.276108977,-1.86E-02,1.288932968,-2.30E-02,1.283272301,-2.26E-02,1.332228289,-1.95E-02,1.297099556,-2.59E-02
1.325446855,-1.84E-02,1.313477132,-2.05E-02,1.26360382,-1.13E-02,1.278882183,-1.80E-02,1.277420481,-1.83E-02,1.266969406,-1.47E-02,1.284010887,-2.19E-02,1.278290845,-2.11E-02,1.32138445,-2.23E-02,1.286312037,-2.48E-02
1.312710931,-2.00E-02,1.302007074,-2.09E-02,1.261142656,-1.02E-02,1.269513103,-1.43E-02,1.268201569,-1.45E-02,1.258743793,-1.08E-02,1.279088805,-2.05E-02,1.273807534,-1.94E-02,1.310127896,-2.44E-02,1.281455815,-2.36E-02
1.299975008,-2.02E-02,1.290537017,-1.96E-02,1.258927607,-9.30E-03,1.261080931,-1.05E-02,1.259904549,-1.06E-02,1.250518179,-7.04E-03,1.274658932,-1.89E-02,1.269772554,-1.78E-02,1.298871342,-2.53E-02,1.276599592,-2.20E-02
1.293111795,-1.93E-02,1.280213965,-1.69E-02,1.256712559,-8.39E-03,1.252648759,-6.86E-03,1.251607528,-6.97E-03,1.245029977,-4.95E-03,1.270672047,-1.73E-02,1.266141072,-1.61E-02,1.287614788,-2.43E-02,1.272228992,-2.04E-02
1.286248583,-1.80E-02,1.270923218,-1.34E-02,1.254719016,-7.61E-03,1.246966141,-4.79E-03,1.246020218,-4.88E-03,1.239541776,-3.29E-03,1.267083849,-1.57E-02,1.262900052,-1.46E-02,1.282614062,-2.31E-02,1.268295452,-1.86E-02
1.280594402,-1.64E-02,1.262561546,-9.81E-03,1.252725473,-6.85E-03,1.241283523,-3.15E-03,1.240432908,-3.23E-03,1.23509789,-2.29E-03,1.263854472,-1.43E-02,1.259984611,-1.32E-02,1.277613336,-2.16E-02,1.264755266,-1.70E-02
1.275929206,-1.48E-02,1.254199874,-6.42E-03,1.250931284,-6.20E-03,1.236738322,-2.18E-03,1.235934177,-2.24E-03,1.231271241,-1.65E-03,1.260948032,-1.29E-02,1.257360714,-1.19E-02,1.273112682,-1.99E-02,1.261569098,-1.54E-02
1.272049443,-1.34E-02,1.248576965,-4.50E-03,1.249137095,-5.58E-03,1.232859309,-1.58E-03,1.232079056,-1.62E-03,1.227941725,-1.25E-03,1.258332237,-1.16E-02,1.254999207,-1.07E-02,1.269062094,-1.82E-02,1.258701548,-1.39E-02
1.268700077,-1.21E-02,1.242954056,-2.98E-03,1.247522325,-0.005058892,1.229499755,-1.20E-03,1.228733145,-0.001230141,1.224945161,-9.90E-04,1.25597802,-1.05E-02,1.25287385,-9.74E-03,1.265416565,-1.65E-02,1.256120752,-1.26E-02
1.265745787,-1.09E-02,1.238424406,-2.08E-03,1.245907554,-0.004565643,1.226476156,-9.59E-04,1.225721825,-9.76E-04,1.221948597,-8.00E-04,1.253859226,-9.56E-03,1.250748494,-8.77E-03,1.2621691,-1.50E-02,1.253798036,-1.14E-02
1.263086926,-9.80E-03,1.234527923,-1.52E-03,1.244292784,-0.004105679,1.223452558,-7.81E-04,1.222710506,-7.91E-04,1.218952032,-6.65E-04,1.251740431,-8.62E-03,1.248835673,-7.93E-03,1.259248228,-1.35E-02,1.251707591,-1.04E-02
1.260693951,-8.85E-03,1.231133887,-1.16E-03,1.241063244,-0.003239171,1.220428959,-6.56E-04,1.219699186,-6.61E-04,1.215955468,-5.73E-04,1.249833516,-0.007800875,1.246922852,-7.13E-03,1.256619442,-1.22E-02,1.249617147,-9.38E-03
1.258540274,-8.01E-03,1.228079255,-9.31E-04,1.238156658,-0.002562713,1.217405361,-5.70E-04,1.216687866,-5.71E-04,1.212958903,-5.10E-04,1.247926601,-0.007020802,1.245201313,-6.44E-03,1.254253535,-1.10E-02,1.247735747,-8.50E-03
1.256601965,-7.28E-03,1.225024622,-7.65E-04,1.235250072,-0.002015036,1.214381762,-5.12E-04,1.213676547,-5.11E-04,1.209962339,-4.68E-04,1.246210377,-0.006350414,1.243479775,-5.79E-03,1.252124219,-9.99E-03,1.245854347,-7.66E-03
1.254663655,-6.58E-03,1.22196999,-6.48E-04,1.232505589,-0.001600305,1.211358164,-4.73E-04,1.210665227,-4.70E-04,1.206965774,-4.40E-04,1.244494154,-0.005718251,1.24193039,-5.24E-03,1.249994902,-9.00E-03,1.244161087,-6.94E-03
1.252919177,-5.98E-03,1.218915358,-5.68E-04,1.229761105,-0.001274458,1.208334565,-4.47E-04,1.207653908,-4.43E-04,1.20396921,-4.22E-04,1.242949553,-0.005179441,1.240381005,-4.73E-03,1.248078518,-8.13E-03,1.242467827,-6.26E-03
1.251174698,-0.005403792,1.215860726,-5.14E-04,1.227016622,-0.001025275,1.205310966,-4.28E-04,1.204642588,-4.24E-04,1.200972645,-4.09E-04,1.241404951,-0.004674685,1.23883162,-4.25E-03,1.246162133,-0.007308789,1.240943893,-5.67E-03
1.24943022,-0.00486475,1.212806094,-4.77E-04,1.224272139,-8.40E-04,1.202287368,-4.13E-04,1.201631268,-4.09E-04,1.197976081,-3.99E-04,1.23986035,-0.004204554,1.23573285,-0.003342935,1.244437387,-0.006601692,1.239419959,-0.005128092
1.245941262,-0.003837614,1.209751461,-4.55E-04,1.221527655,-7.05E-04,1.199263769,-4.02E-04,1.198619949,-3.98E-04,1.191982952,-3.82E-04,1.236771148,-0.003320838,1.232943958,-0.002640474,1.242712641,-0.005935466,1.237896025,-0.004617585
1.242801201,-0.003036064,1.206696829,-4.37E-04,1.218783172,-6.10E-04,1.193216572,-3.85E-04,1.192597309,-3.80E-04,1.185989823,-3.67E-04,1.233990866,-0.002632888,1.230155065,-0.002071888,1.241160369,-0.005368094,1.234848156,-0.003655518
1.23966114,-0.002367788,1.203642197,-4.23E-04,1.216038689,-5.43E-04,1.187169375,-3.72E-04,1.18657467,-3.68E-04,1.179996694,-3.56E-04,1.231210583,-0.002073452,1.227506382,-0.001638443,1.239608097,-0.004837067,1.232105075,-0.002910619
1.236521078,-0.00183074,1.197532933,-4.01E-04,1.213294205,-4.97E-04,1.181122178,-3.63E-04,1.180552031,-3.59E-04,1.168010437,-3.40E-04,1.228430301,-0.001624371,1.224857698,-0.001297544,1.238055826,-0.004342958,1.229361994,-0.002290445
1.233381017,-0.001413969,1.191423668,-3.88E-04,1.210549722,-4.68E-04,1.175074981,-3.53E-04,1.174529392,-3.49E-04,1.156024179,-3.30E-04,1.225650019,-0.001274683,1.222209015,-0.001036336,1.234951283,-0.003415298,1.226618913,-0.001789771
1.230240955,-0.001101589,1.185314404,-3.76E-04,1.207805239,-4.46E-04,1.162980586,-3.44E-04,1.162484113,-3.41E-04,1.144037921,-3.24E-04,1.222869737,-0.001010235,1.219560331,-8.41E-04,1.232157194,-0.00269317,1.223875831,-0.001396962
1.227100894,-8.75E-04,1.179205139,-3.67E-04,1.205060756,-4.30E-04,1.147718333,-3.33E-04,1.147178128,-3.29E-04,1.132051663,-3.19E-04,1.220089455,-8.16E-04,1.216911648,-6.99E-04,1.229363105,-0.002108833,1.22113275,-0.001097305
1.223960833,-7.17E-04,1.166986611,-3.52E-04,1.199571789,-4.05E-04,1.132456079,-3.27E-04,1.131872142,-3.22E-04,1.120065405,-3.16E-04,1.217309172,-6.77E-04,1.214262965,-5.98E-04,1.226726458,-0.00166619,1.218389669,-8.75E-04
1.220820771,-6.10E-04,1.154768082,-3.43E-04,1.194082822,-3.92E-04,1.117193825,-3.22E-04,1.116566156,-3.18E-04,1.09609289,-3.58E-04,1.21452889,-5.80E-04,1.211614281,-5.28E-04,1.224089811,-0.001317665,1.215646588,-7.15E-04
1.21768071,-5.40E-04,1.142549553,-3.37E-04,1.188593856,-3.79E-04,1.101931571,-3.18E-04,1.10126017,-3.14E-04,1.072120374,-3.06E-04,1.211748608,-5.14E-04,1.208965598,-4.79E-04,1.221453164,-0.001050271,1.212903506,-6.02E-04
1.214540648,-4.94E-04,1.130331024,-3.33E-04,1.183104889,-3.70E-04,1.071407063,-3.12E-04,1.070648199,-3.08E-04,1.024175343,-2.99E-04,1.208968326,-4.70E-04,1.206316915,-4.49E-04,1.218816516,-8.50E-04,1.210160425,-5.25E-04
1.211400587,-4.64E-04,1.118112495,-3.29E-04,1.172126956,-3.54E-04,1.040882555,-3.02E-04,1.040036227,-2.99E-04,1.000500999,-1.58E-04,1.206188044,-4.40E-04,1.203668231,-4.26E-04,1.216179869,-7.04E-04,1.207417344,-4.72E-04
1.208260526,-4.43E-04,1.093675438,-3.74E-04,1.161149023,-3.44E-04,1.010358048,-2.85E-04,1.009424256,-2.82E-04,1.443751517,-0.020766715,1.203407761,-4.21E-04,1.201019548,-4.09E-04,1.213543222,-6.01E-04,1.204674262,-4.37E-04
1.205120464,-4.29E-04,1.06923838,-3.19E-04,1.15017109,-3.38E-04,1.000500999,-3.14E-04,1.000500999,-3.08E-04,1.439187668,-0.018940457,1.200627479,-4.07E-04,1.195722181,-3.84E-04,1.210906575,-5.28E-04,1.201931181,-4.14E-04
1.198840341,-4.06E-04,1.020364265,-3.11E-04,1.139193156,-3.33E-04,1.423076574,-0.009829623,1.416540798,-0.00753501,1.435264438,-0.017182634,1.197847197,-3.96E-04,1.190424814,-3.71E-04,1.208269928,-4.78E-04,1.1991881,-3.96E-04
1.192560219,-3.93E-04,1.000500999,-2.00E-04,1.128215223,-3.04E-04,1.421099704,-0.008932837,1.414762541,-0.006803172,1.431865606,-0.015555817,1.192286632,-3.80E-04,1.185127448,-3.59E-04,1.205633281,-4.47E-04,1.196445019,-3.84E-04
1.186280096,-3.81E-04,1.422708716,-0.008382581,1.11723729,-3.23E-04,1.419122834,-0.008070443,1.413162109,-0.006174429,1.428848743,-0.014062815,1.186726068,-3.66E-04,1.179830081,-3.50E-04,1.202996634,-4.23E-04,1.190958856,-3.65E-04
1.179999973,-3.72E-04,1.420738067,-0.007574766,1.106259357,-3.23E-04,1.41734365,-0.007322608,1.411561678,-0.005581001,1.426134854,-0.01270449,1.181165504,-3.55E-04,1.169235347,-3.35E-04,1.200359987,-4.06E-04,1.185472694,-3.54E-04
1.167439727,-3.56E-04,1.418964483,-0.006874719,1.08430349,-2.67E-04,1.415564467,-0.006611445,1.41012129,-0.00507458,1.423692353,-0.011486808,1.170044375,-3.39E-04,1.158640614,-3.30E-04,1.195086692,-3.81E-04,1.179986531,-3.45E-04
1.154879482,-3.47E-04,1.4171909,-0.006209407,1.062347624,-2.72E-04,1.413963202,-0.006000645,1.408680902,-0.004599093,1.421494103,-0.01040735,1.158923246,-3.29E-04,1.14804588,-3.20E-04,1.189813398,-3.68E-04,1.174500368,-3.37E-04
