1.1v,1.1i,1.2v,1.2i,1.3v,1.3i,1.4v,1.4i,1.5v,1.5i,1.6v,1.6i,1.7v,1.7i,1.8v,1.8i,1.9v,1.9i,2.0v,2.0i,,,,,
1.00021143,7.53E-12,1.000222097,8.00E-12,1.000219245,8.65E-12,1.000229007,9.76E-12,1.000232358,1.02E-11,1.000236062,1.10E-11,1.000240533,1.17E-11,1.000227964,1.27E-11,1.000230584,1.34E-11,1.000234962,1.42E-11,,,,,
1.000246479,7.47E-12,1.000261657,7.78E-12,1.000255286,8.91E-12,1.000269353,8.68E-12,1.000273259,9.59E-12,1.000277362,1.03E-11,1.000282304,1.10E-11,1.000270333,1.15E-11,1.000273605,1.21E-11,1.000278492,1.28E-11,,,,,
1.000281595,7.51E-12,1.00030097,7.52E-12,1.000291236,8.98E-12,1.000309274,8.91E-12,1.000313636,9.52E-12,1.000318038,1.02E-11,1.000323325,1.09E-11,1.000312211,1.16E-11,1.00031604,1.22E-11,1.000321301,1.29E-11,,,,,
1.000316188,7.44E-12,1.000339252,7.49E-12,1.000326479,8.83E-12,1.00034797,8.93E-12,1.000352675,9.52E-12,1.000357269,1.01E-11,1.000362771,1.08E-11,1.000352682,1.15E-11,1.000356948,1.21E-11,1.000362443,1.27E-11,,,,,
1.000349756,-2.06E-12,1.000375886,7.46E-12,1.000360504,-9.32E-13,1.000384836,8.78E-12,1.000389774,9.42E-12,1.000394464,1.01E-11,1.00040007,1.07E-11,1.000391071,1.13E-11,1.000395655,1.19E-11,1.000401263,1.25E-11,,,,,
1.000412428,2.35E-12,1.000410484,1.71E-13,1.000392945,7.35E-12,1.000419532,2.27E-12,1.00042462,3.48E-12,1.000429348,4.79E-12,1.000434994,6.31E-12,1.000427043,1.13E-11,1.000431856,1.19E-11,1.000437508,7.59E-12,,,,,
1.000463265,6.81E-12,1.000473609,6.00E-12,1.00042362,1.27E-11,1.000452065,8.36E-12,1.000457284,9.13E-12,1.000462051,9.92E-12,1.000467756,1.08E-11,1.000460697,1.34E-11,1.000465726,1.55E-11,1.000471451,1.26E-11,,,,,
1.000510703,1.17E-11,1.000526706,1.64E-11,1.000480171,9.57E-12,1.000482875,2.32E-11,1.000488301,2.54E-11,1.000493206,2.75E-11,1.000499114,3.00E-11,1.000524174,9.66E-12,1.000530013,1.00E-11,1.000504016,3.57E-11,,,,,
1.000557721,1.50E-11,1.000579638,1.71E-11,1.000533855,1.61E-11,1.000542878,2.00E-11,1.0005491,2.14E-11,1.000554605,2.24E-11,1.000561247,2.33E-11,1.000579969,2.03E-11,1.000586268,1.98E-11,1.000568733,2.60E-11,,,,,
1.000604739,1.86E-11,1.000632571,8.10E-12,1.000587467,1.63E-11,1.000602834,1.28E-11,1.000609885,1.21E-11,1.000616001,1.14E-11,1.000623381,1.06E-11,1.000635764,1.36E-11,1.000642523,1.38E-11,1.000626978,1.15E-11,,,,,
1.000698775,7.77E-12,1.000685504,2.13E-12,1.00064108,8.52E-12,1.000662791,8.70E-12,1.00067067,9.04E-12,1.000677396,9.47E-12,1.000685515,9.95E-12,1.000691558,1.05E-11,1.000698778,1.11E-11,1.000685223,1.17E-11,,,,,
1.000783408,-1.76E-12,1.000791369,7.35E-12,1.000694692,3.57E-12,1.000722747,8.81E-12,1.000731454,9.59E-12,1.000738792,1.03E-11,1.000747648,1.11E-11,1.000747353,1.12E-11,1.000755033,1.19E-11,1.000743469,1.31E-11,,,,,
1.000952673,7.20E-12,1.000897234,1.61E-11,1.000801917,8.05E-12,1.000782703,1.02E-11,1.000792239,1.08E-11,1.000800188,1.13E-11,1.000809782,1.18E-11,1.000803148,1.27E-11,1.000811288,1.21E-11,1.000801714,1.35E-11,,,,,
1.001121938,1.05E-11,1.001003099,8.55E-12,1.00089842,1.44E-11,1.000902615,9.23E-12,1.000913808,9.76E-12,1.00092298,1.03E-11,1.000934049,1.08E-11,1.000858943,1.25E-11,1.000867543,1.19E-11,1.000918205,1.26E-11,,,,,
1.001291203,3.28E-11,1.001108965,8.38E-13,1.001091424,8.28E-12,1.001010536,7.54E-12,1.00102322,8.23E-12,1.001033492,9.00E-12,1.00104589,9.85E-12,1.000970533,1.13E-11,1.000980053,1.20E-11,1.001023046,1.26E-11,,,,,
1.001629732,9.75E-11,1.001320695,7.00E-12,1.001284429,1.21E-11,1.001226378,9.07E-12,1.001242045,9.70E-12,1.00121392,1.28E-11,1.00115773,1.08E-11,1.001082122,1.07E-11,1.001092564,1.22E-11,1.001127888,1.27E-11,,,,,
1.002306792,3.50E-10,1.001744156,2.18E-11,1.001477434,4.16E-11,1.001442221,1.41E-11,1.001438987,1.41E-11,1.001373388,3.41E-11,1.001269571,1.18E-11,1.001305302,1.16E-11,1.001205074,1.22E-11,1.001232729,1.29E-11,,,,,
1.003660911,1.36E-09,1.002167618,1.65E-10,1.001863443,1.26E-10,1.001658063,5.09E-11,1.001635929,4.46E-11,1.001692323,2.06E-11,1.001493252,1.12E-11,1.001490227,1.18E-11,1.001317584,1.21E-11,1.001337571,1.29E-11,,,,,
1.006369149,5.37E-09,1.00301454,5.75E-10,1.002635462,4.55E-10,1.002089747,1.57E-10,1.002029813,1.33E-10,1.002011259,9.35E-11,1.001716933,1.64E-11,1.001675153,1.18E-11,1.001542604,1.23E-11,1.001442412,1.29E-11,,,,,
1.011785626,2.11E-08,1.004708384,2.15E-09,1.0041795,1.77E-09,1.002953116,5.68E-10,1.002817582,4.75E-10,1.00264913,3.26E-10,1.001940614,5.61E-11,1.001860078,1.19E-11,1.001767624,1.78E-11,1.001652095,1.30E-11,,,,,
1.022618578,1.01E-08,1.008096074,8.41E-09,1.007267575,6.98E-09,1.004679853,2.21E-09,1.004393118,1.85E-09,1.003924871,1.23E-09,1.002387976,1.70E-10,1.002229929,1.22E-11,1.001992644,5.81E-11,1.001861779,1.34E-11,,,,,
1.032368236,1.25E-08,1.014871452,3.29E-08,1.013443726,2.74E-08,1.008133328,8.73E-09,1.007544192,7.29E-09,1.006476355,4.81E-09,1.0032827,6.13E-10,1.002969631,3.46E-10,1.002442685,1.74E-10,1.002281145,1.35E-11,,,,,
1.041142928,2.14E-11,1.02164683,1.88E-08,1.021036273,5.73E-10,1.015040278,4.19E-09,1.013846339,2.86E-08,1.011579322,1.89E-08,1.005072148,2.39E-09,1.004449034,1.63E-09,1.003342765,6.22E-10,1.002700511,1.60E-10,,,,,
1.047885495,1.92E-09,1.028422209,5.73E-09,1.028628819,1.83E-09,1.021947227,1.44E-08,1.020148485,1.55E-08,1.021785256,1.21E-09,1.008651045,9.41E-09,1.007407841,6.50E-09,1.005142927,2.42E-09,1.003539243,5.74E-10,,,,,
1.053629232,5.15E-11,1.041972965,2.19E-08,1.036221365,1.60E-09,1.028854177,7.06E-11,1.026450632,7.95E-09,1.029787551,6.94E-09,1.015808838,4.52E-09,1.013325455,3.12E-09,1.00874325,9.53E-09,1.005216708,2.14E-09,,,,,
1.058355298,6.32E-11,1.050430363,5.09E-11,1.043813911,2.17E-09,1.035761127,6.82E-09,1.039054926,1.97E-08,1.036989616,-5.74E-12,1.022966631,2.64E-09,1.019243069,9.46E-09,1.015943895,4.58E-09,1.008571638,8.33E-09,,,,,
1.062584264,7.55E-11,1.058887761,5.91E-08,1.051406457,5.54E-11,1.043834516,3.31E-11,1.05039879,5.88E-11,1.042517885,4.81E-11,1.029408645,8.59E-11,1.025160682,4.68E-09,1.023144541,4.35E-09,1.015281497,4.01E-09,,,,,
1.066390334,8.86E-11,1.06442455,1.03E-10,1.058999003,6.65E-11,1.051907905,4.13E-08,1.059606872,9.24E-11,1.047419645,5.77E-11,1.035206457,7.67E-11,1.031078296,9.63E-09,1.029625122,3.35E-11,1.021320371,2.64E-09,,,,,
1.069815798,1.02E-10,1.069961338,1.12E-10,1.066591549,8.48E-11,1.057670747,8.95E-11,1.068814955,8.45E-11,1.051657281,7.03E-11,1.040200092,4.84E-11,1.038708068,9.13E-09,1.034948594,3.70E-11,1.027359244,6.59E-09,,,,,
1.072898714,1.16E-10,1.075498127,1.42E-10,1.074184096,1.47E-10,1.063433589,-3.05E-09,1.076856735,1.83E-10,1.055471153,8.21E-11,1.044549267,5.69E-11,1.04633784,1.17E-08,1.039657345,3.86E-10,1.032617175,3.61E-11,,,,,
1.075981631,1.31E-10,1.081034916,1.72E-10,1.081776642,1.99E-10,1.069196431,1.27E-10,1.084094337,9.39E-08,1.058903638,9.48E-11,1.048463216,6.57E-11,1.053967612,9.16E-11,1.043787831,6.06E-11,1.036919038,4.76E-11,,,,,
1.078756256,1.47E-10,1.086571704,2.25E-10,1.088609933,2.63E-10,1.074959273,1.56E-10,1.088957728,3.47E-10,1.061992875,1.07E-10,1.05198577,7.61E-11,1.060834406,3.65E-08,1.04750527,7.07E-11,1.040790715,5.68E-11,,,,,
1.081530881,1.64E-10,1.092108493,2.81E-10,1.095443225,3.45E-10,1.080722115,1.98E-10,1.093266105,3.55E-10,1.065082112,1.21E-10,1.055156068,8.68E-11,1.066225585,1.53E-10,1.050850964,8.13E-11,1.044275224,6.56E-11,,,,,
1.084305506,1.83E-10,1.097645282,3.91E-08,1.102276516,8.80E-08,1.086484956,2.57E-10,1.097574482,4.34E-10,1.067862425,1.36E-10,1.058326367,9.84E-11,1.071077645,-7.76E-10,1.053862089,9.21E-11,1.047411282,7.48E-11,,,,,
1.089854757,1.58E-08,1.10318207,4.52E-10,1.106443366,5.94E-10,1.092247798,3.27E-10,1.101882859,1.54E-08,1.070642738,1.52E-10,1.061179636,1.11E-10,1.075929706,2.18E-10,1.056873213,1.04E-10,1.05054734,8.47E-11,,,,,
1.095404007,3.00E-10,1.10794886,-1.68E-08,1.11019353,6.09E-10,1.09801064,4.69E-08,1.106191237,6.22E-10,1.073423051,1.70E-10,1.064032904,1.24E-10,1.080781767,2.64E-10,1.059583226,1.16E-10,1.053369792,9.53E-11,,,,,
