0.1v,0.1i,0.2v,0.2i,0.3v,0.3i,0.4v,0.4i,0.5v,0.5i,0.6v,0.6i,0.7v,0.7i,0.8v,0.8i,0.9v,0.9i,1.0v,1.0i
1.641831254,7.88E-04,1.641831254,7.88E-04,1.660323961,7.86E-04,1.667738452,8.80E-04,1.651210119,0.001753699,1.68192962,0.001016146,1.71866554,6.17E-04,1.620201756,0.005067779,1.564239811,0.004020498,1.597103209,0.005859148
1.647267791,7.23E-04,1.647267791,7.23E-04,1.666485641,7.13E-04,1.675587826,7.59E-04,1.660689568,0.00137416,1.690726727,8.27E-04,1.726894742,5.83E-04,1.631335091,0.004691136,1.576936978,0.004692503,1.611057576,0.00616903
1.652704328,6.79E-04,1.652704328,6.79E-04,1.672647321,6.56E-04,1.6834372,6.74E-04,1.669221072,0.001101367,1.699523835,7.05E-04,1.735123943,5.66E-04,1.642468426,0.004112871,1.589634145,0.005250667,1.623616505,0.0061258
1.658140865,6.34E-04,1.658140865,6.34E-04,1.678809001,6.13E-04,1.691286575,6.17E-04,1.677752576,8.98E-04,1.708320942,6.31E-04,1.743353144,5.52E-04,1.653601761,0.003403506,1.602331312,0.005608937,1.636175435,0.005748904
1.663577402,5.94E-04,1.663577402,5.94E-04,1.684970681,5.88E-04,1.699135949,5.79E-04,1.686284081,7.57E-04,1.717118049,5.87E-04,1.751582345,5.38E-04,1.664735095,0.002656225,1.615028479,0.005691475,1.647478472,0.005140023
1.674450476,5.34E-04,1.674450476,5.34E-04,1.691132361,5.61E-04,1.706985323,5.52E-04,1.694815585,6.66E-04,1.725915157,5.60E-04,1.768040748,5.14E-04,1.67586843,0.00196555,1.62645593,0.005487814,1.658781509,0.004342871
1.684236243,5.02E-04,1.684236243,5.02E-04,1.697294041,5.36E-04,1.714834698,5.40E-04,1.703347089,6.09E-04,1.734712264,5.42E-04,1.78449915,5.07E-04,1.687001765,0.001404608,1.63788338,0.005025477,1.670084546,0.003454304
1.69402201,4.81E-04,1.69402201,4.81E-04,1.709617401,5.09E-04,1.730533446,5.05E-04,1.711878594,5.73E-04,1.743509371,5.28E-04,1.804679239,5.13E-04,1.6981351,0.001005845,1.649310831,0.004349295,1.681387583,0.002585468
1.703807776,4.65E-04,1.703807776,4.65E-04,1.721940762,4.86E-04,1.743957499,4.84E-04,1.720410098,5.49E-04,1.761103586,5.04E-04,1.824859328,4.93E-04,1.708155101,7.85E-04,1.660738281,0.003542405,1.69269062,0.001836063
1.713593543,4.50E-04,1.713593543,4.50E-04,1.734264122,4.69E-04,1.75985899,4.74E-04,1.728941602,5.32E-04,1.778697801,4.88E-04,1.845039417,4.77E-04,1.717173102,6.72E-04,1.672165732,0.002711533,1.703993657,0.001269253
1.72337931,4.35E-04,1.72337931,4.35E-04,1.746587482,4.52E-04,1.775760481,4.67E-04,1.737473106,5.13E-04,1.796292016,4.73E-04,1.865219506,4.77E-04,1.726191103,6.11E-04,1.683593182,0.001961639,1.715296694,8.97E-04
1.733165077,4.19E-04,1.733165077,4.19E-04,1.758910842,4.34E-04,1.791661972,4.60E-04,1.746004611,5.07E-04,1.81388623,4.63E-04,1.885399595,4.86E-04,1.735209104,5.77E-04,1.695020632,0.001369556,1.725469428,7.11E-04
1.742950843,4.23E-04,1.742950843,4.23E-04,1.771234202,4.28E-04,1.807563463,4.59E-04,1.754536115,4.99E-04,1.831480445,4.55E-04,1.905579685,4.09E-04,1.744227106,5.57E-04,1.706448083,9.64E-04,1.735642161,6.17E-04
1.75273661,4.26E-04,1.75273661,4.26E-04,1.783557562,4.19E-04,1.823464954,4.22E-04,1.771599123,4.78E-04,1.84907466,4.69E-04,1.925759774,4.56E-04,1.753245107,5.43E-04,1.716732788,7.50E-04,1.745814894,5.75E-04
1.762522377,4.07E-04,1.762522377,4.07E-04,1.795880922,4.31E-04,1.839366444,4.02E-04,1.788662132,4.53E-04,1.866668874,4.24E-04,1.945939863,4.54E-04,1.771281109,5.18E-04,1.725989023,6.48E-04,1.755987627,5.56E-04
1.772308143,4.05E-04,1.772308143,4.05E-04,1.808204282,3.84E-04,1.855267935,4.33E-04,1.805725141,4.61E-04,1.884263089,3.96E-04,1.966119952,4.64E-04,1.789317111,5.02E-04,1.735245258,5.96E-04,1.766160361,5.45E-04
