2.1v,2.1i,2.2v,2.2i,2.3v,2.3i,2.4v,2.4i,2.5v,2.5i,2.6v,2.6i,2.7v,2.7i,2.8v,2.8i,2.9v,2.9i,3.0v,3.0i
1.280352288,-3.53E-04,1.400122158,-5.12E-04,1.399225742,-5.08E-04,1.40650018,-6.00E-04,1.398141413,-5.11E-04,1.317881542,-3.45E-04,1.358850694,-3.75E-04,1.395594042,-5.09E-04,1.354514822,-3.61E-04,1.403383334,-7.29E-04
1.266003482,-3.48E-04,1.396929554,-4.94E-04,1.395786583,-4.88E-04,1.403257624,-5.53E-04,1.395195826,-4.89E-04,1.30509234,-3.40E-04,1.352511685,-3.67E-04,1.392730785,-4.82E-04,1.348286477,-3.54E-04,1.400613044,-6.37E-04
1.251654676,-3.43E-04,1.39373695,-4.77E-04,1.392347425,-4.71E-04,1.400015067,-5.20E-04,1.392250239,-4.73E-04,1.292303138,-3.35E-04,1.346172677,-3.59E-04,1.389867529,-4.61E-04,1.342058133,-3.48E-04,1.397842754,-5.71E-04
1.222957065,-4.10E-04,1.390544346,-4.64E-04,1.388908267,-4.56E-04,1.396772511,-4.96E-04,1.389304652,-4.59E-04,1.279513937,-3.31E-04,1.339833669,-3.54E-04,1.387004272,-4.46E-04,1.329601445,-3.38E-04,1.395072463,-5.23E-04
1.194259453,-3.27E-04,1.384159138,-4.43E-04,1.385469109,-4.45E-04,1.393529955,-4.77E-04,1.386359064,-4.47E-04,1.266724735,-3.27E-04,1.327155652,-3.46E-04,1.384141015,-4.33E-04,1.317144756,-3.31E-04,1.392302173,-4.89E-04
1.165561841,-3.19E-04,1.37777393,-4.27E-04,1.378590793,-4.26E-04,1.390287398,-4.62E-04,1.38046789,-4.29E-04,1.241146331,-3.72E-04,1.314477635,-3.39E-04,1.378414502,-4.12E-04,1.304688067,-3.26E-04,1.389531883,-4.64E-04
1.108166617,-3.04E-04,1.371388723,-4.15E-04,1.371712476,-4.11E-04,1.387044842,-4.49E-04,1.374576716,-4.12E-04,1.215567928,-3.15E-04,1.301799619,-3.34E-04,1.372687989,-3.98E-04,1.292231379,-3.22E-04,1.386761593,-4.46E-04
1.058494981,-2.93E-04,1.365003515,-4.04E-04,1.36483416,-4.00E-04,1.383802286,-4.38E-04,1.368685542,-4.00E-04,1.189989524,-2.59E-04,1.289121602,-3.30E-04,1.366961476,-3.85E-04,1.27977469,-3.18E-04,1.383991302,-4.33E-04
1.008823344,-2.83E-04,1.358618307,-3.96E-04,1.357955843,-3.91E-04,1.377317173,-4.20E-04,1.356903193,-3.79E-04,1.138832717,-2.97E-04,1.276443585,-3.26E-04,1.361234963,-3.75E-04,1.267318002,-3.15E-04,1.381221012,-4.21E-04
1.000500999,-3.21E-04,1.352233099,-3.89E-04,1.351077527,-3.83E-04,1.37083206,-4.06E-04,1.347099219,-3.69E-04,1.08767591,-2.88E-04,1.263765569,-3.22E-04,1.349781937,-3.58E-04,1.242404624,-3.55E-04,1.375680432,-4.00E-04
0,0,1.345847891,-3.83E-04,1.344199211,-3.77E-04,1.364346948,-3.95E-04,1.337295244,-3.62E-04,1.036519103,-2.79E-04,1.238409535,-3.66E-04,1.339474213,-3.49E-04,1.217491247,-3.03E-04,1.370139851,-3.86E-04
0,0,1.333077475,-3.73E-04,1.337320894,-3.72E-04,1.357861835,-3.86E-04,1.32749127,-3.55E-04,1.000500999,-4.52E-04,1.213053502,-3.11E-04,1.329166489,-3.42E-04,1.19257787,-2.99E-04,1.362504914,-3.69E-04
0,0,1.320307059,-3.65E-04,1.323564262,-3.62E-04,1.351376722,-3.79E-04,1.317687295,-3.50E-04,0,0,1.187697469,-2.60E-04,1.318858766,-3.37E-04,1.167664493,-2.95E-04,1.354869977,-3.57E-04
0,0,1.307536643,-3.59E-04,1.309807629,-3.56E-04,1.34489161,-3.73E-04,1.30788332,-3.46E-04,0,0,1.136985402,-2.94E-04,1.308551042,-3.32E-04,1.142751116,-2.98E-04,1.34723504,-3.48E-04
0,0,1.294766227,-3.54E-04,1.296050996,-3.50E-04,1.331921384,-3.62E-04,1.298079346,-3.42E-04,0,0,1.086273335,-2.85E-04,1.298243318,-3.28E-04,1.092924361,-7.55E-04,1.339600102,-3.41E-04
0,0,1.281995811,-3.49E-04,1.282294364,-3.45E-04,1.318951159,-3.55E-04,1.278471396,-3.34E-04,0,0,1.035561269,-2.71E-04,1.287935595,-3.25E-04,1.043097607,-2.73E-04,1.331965165,-3.36E-04
