0.1v,0.1i,0.2v,0.2i
1.095567252,-3.82E-04,0,0
1.085567252,-4.34E-04,0,0
1.075567252,-6.39E-04,0,0
1.065567252,-8.60E-04,0,0
1.055567252,-6.90E-05,0,0
1.045567252,0.00497233,0,0
1.035567252,0.023196458,0,0
1.025567252,0.07467964,0,0
1.015567252,0.033365999,0,0
1.005567252,0.2980945,0,0
1.000501,-0.158525371,0,0
