7.1v,7.1i,7.2v,7.2i,7.3v,7.3i,7.4v,7.4i,7.5v,7.5i,7.6v,7.6i,7.7v,7.7i,7.8v,7.8i,7.9v,7.9i,8.0v,8.0i,,,,,
1.009423758,2.06E-09,1.009934058,1.95E-09,1.009934058,1.96E-09,1.010918208,6.18E-10,1.010918208,6.19E-10,1.011508698,4.91E-09,1.010488008,2.54E-09,1.010731008,2.46E-09,1.008868008,7.84E-11,1.008868008,7.93E-11,,,,,
1.012339758,9.58E-10,1.012558458,8.11E-10,1.012558458,8.12E-10,1.013542608,1.37E-09,1.013542608,1.37E-09,1.013870658,1.51E-09,1.013728008,1.17E-09,1.013647008,1.00E-09,1.010488008,2.58E-09,1.010488008,4.69E-10,,,,,
1.015255758,1.69E-09,1.015182858,1.33E-09,1.015182858,1.33E-09,1.016167008,2.10E-09,1.016167008,2.10E-09,1.016232618,5.97E-09,1.016968008,2.21E-09,1.016563008,1.71E-09,1.013728008,1.19E-09,1.012108008,3.11E-09,,,,,
1.018171758,2.79E-09,1.017807258,2.13E-09,1.017807258,2.13E-09,1.021415808,5.47E-09,1.021415808,5.45E-09,1.018916701,1.27E-09,1.020208008,1.03E-09,1.019479008,2.86E-09,1.016968008,5.05E-10,1.015348008,1.24E-09,,,,,
1.024003758,2.90E-09,1.023056058,5.98E-09,1.023056058,5.98E-09,1.026664608,5.35E-09,1.026664608,5.34E-09,1.021600783,1.40E-09,1.023448008,1.10E-09,1.025311008,2.99E-09,1.020208008,9.53E-10,1.018264008,1.86E-09,,,,,
1.029835758,5.00E-09,1.028304858,2.39E-09,1.028304858,2.39E-09,1.031913408,5.90E-09,1.031913408,5.92E-09,1.024284866,2.48E-09,1.029928008,4.65E-09,1.031143008,5.13E-09,1.026688008,3.73E-09,1.021180008,7.87E-10,,,,,
1.035667758,5.35E-09,1.033553658,7.29E-09,1.033553658,7.29E-09,1.037162208,9.16E-09,1.037162208,9.19E-09,1.029653032,2.66E-09,1.036408008,6.12E-09,1.036975008,5.44E-09,1.033168008,4.36E-09,1.024096008,1.17E-09,,,,,
1.041499758,4.72E-09,1.038995604,3.76E-10,1.038995054,3.76E-10,1.042411008,7.42E-09,1.042411008,2.40E-10,1.035021197,4.09E-09,1.042888008,9.34E-09,1.042807008,2.50E-10,1.039648008,7.28E-09,1.029928008,3.65E-09,,,,,
1.047331758,9.40E-09,1.04443755,3.77E-09,1.04443645,3.77E-09,1.047659808,1.82E-08,1.047659808,4.57E-09,1.040389363,2.22E-10,1.049368008,3.21E-10,1.048639008,1.60E-08,1.046128008,2.88E-10,1.035760008,3.34E-09,,,,,
1.053163758,3.45E-10,1.049869547,4.67E-10,1.049867605,4.62E-10,1.052908608,3.60E-10,1.052926793,3.64E-10,1.045757528,1.07E-08,1.055200008,1.80E-08,1.054471008,4.00E-10,1.051960008,1.83E-08,1.041592008,4.52E-09,,,,,
1.058412558,1.16E-08,1.055301544,2.24E-09,1.05529876,2.24E-09,1.057632528,-7.30E-09,1.058193777,1.95E-09,1.051125694,3.43E-10,1.060131033,5.08E-10,1.059503652,-3.82E-10,1.056880405,6.70E-10,1.047424008,3.07E-10,,,,,
1.063378756,5.26E-10,1.060733541,4.72E-10,1.060729916,4.77E-10,1.063616521,7.91E-10,1.063460762,5.44E-10,1.055957042,1.83E-09,1.064568956,-3.40E-09,1.064978421,5.99E-10,1.061308762,-3.95E-09,1.053256008,1.88E-08,,,,,
1.068344954,1.41E-09,1.066165538,6.92E-09,1.066161071,6.92E-09,1.069600515,6.90E-10,1.068727747,5.65E-09,1.06129295,5.06E-10,1.070091133,9.17E-10,1.070453191,7.47E-10,1.066892026,1.01E-09,1.059088008,4.95E-10,,,,,
1.073702183,7.72E-10,1.071597535,7.27E-10,1.071592226,7.37E-10,1.074986109,8.46E-10,1.073994732,8.29E-10,1.066628857,6.23E-10,1.07561331,9.09E-10,1.07592796,9.24E-10,1.072475289,8.68E-10,1.063973036,-3.03E-09,,,,,
1.079059412,9.53E-10,1.077029532,1.66E-08,1.077023382,1.66E-08,1.080371704,1.05E-09,1.079261717,1.73E-08,1.071964765,7.70E-10,1.081135486,1.12E-09,1.08140273,1.15E-09,1.078058553,1.03E-09,1.069556208,1.60E-09,,,,,
1.084416641,1.18E-09,1.082461529,1.12E-09,1.082454537,1.13E-09,1.085757298,1.29E-09,1.084528702,1.27E-09,1.077300672,9.51E-10,1.086657663,1.41E-09,1.0868775,1.42E-09,1.083641816,1.29E-09,1.07513938,9.21E-10,,,,,
1.089773871,1.46E-09,1.087350327,6.05E-09,1.087342577,6.06E-09,1.091142892,1.60E-09,1.089268988,3.77E-09,1.08263658,1.18E-09,1.09217984,1.74E-09,1.092352269,1.77E-09,1.08922508,1.62E-09,1.080722552,1.14E-09,,,,,
1.0951311,1.80E-09,1.09253928,1.66E-09,1.092531607,1.68E-09,1.096528486,1.98E-09,1.094532079,1.86E-09,1.087972487,1.45E-09,1.097702016,2.16E-09,1.097827039,2.19E-09,1.094808343,2.03E-09,1.086305724,1.43E-09,,,,,
1.100488329,2.23E-09,1.097728233,2.03E-09,1.097720638,2.05E-09,1.101914081,2.45E-09,1.09979517,2.29E-09,1.093308395,1.79E-09,1.103224193,2.69E-09,1.103301809,4.57E-08,1.100391606,2.53E-09,1.091888896,1.78E-09,,,,,
1.105845558,2.75E-09,1.102917186,2.49E-09,1.102909668,2.52E-09,1.107299675,3.04E-09,1.105058261,2.82E-09,1.098644302,3.93E-08,1.108746369,3.34E-09,1.108776578,3.53E-09,1.10597487,3.10E-09,1.097472068,2.22E-09,,,,,
1.111202788,4.87E-08,1.108106139,3.06E-09,1.108098699,3.10E-09,1.112685269,5.08E-08,1.110321352,3.47E-09,1.103980209,2.84E-09,1.114268546,5.72E-08,1.113363323,-1.80E-08,1.111558133,5.65E-08,1.10305524,2.77E-09,,,,,
1.116560017,4.37E-09,1.113295092,3.75E-09,1.11328773,3.80E-09,1.118070864,4.83E-09,1.115584443,4.28E-09,1.108566899,-1.59E-08,1.119790723,5.39E-09,1.119587612,5.08E-09,1.117141397,4.98E-09,1.108638412,3.46E-09,,,,,
1.121145887,-1.84E-08,1.118484044,4.61E-09,1.11847676,4.67E-09,1.122656861,-1.87E-08,1.120847534,5.27E-09,1.114732782,4.09E-09,1.124355076,6.17E-09,1.125811902,6.65E-09,1.121705892,5.70E-09,1.114221584,6.06E-08,,,,,
1.12732015,6.30E-09,1.123672997,5.66E-09,1.123665791,5.73E-09,1.128841603,6.97E-09,1.126110625,6.48E-09,1.120898664,5.34E-09,1.12891943,7.46E-09,1.131364204,8.29E-09,1.126270388,6.89E-09,1.119804756,5.61E-09,,,,,
1.133494413,8.21E-09,1.12886195,6.05E-08,1.128854821,6.06E-08,1.135026344,9.09E-09,1.131373716,6.61E-08,1.126447959,6.65E-09,1.133483783,8.93E-09,1.136916507,1.03E-08,1.130834883,8.25E-09,1.124344891,-2.54E-08,,,,,
1.139051249,1.02E-08,1.134050903,8.84E-09,1.134043852,8.96E-09,1.140592611,1.13E-08,1.136636807,1.02E-08,1.131997253,8.28E-09,1.138048137,1.07E-08,1.142468809,1.29E-08,1.135399379,9.89E-09,1.133425161,1.26E-07,,,,,
1.144608086,1.28E-08,1.138638549,-1.74E-08,1.1386316,-1.73E-08,1.146158879,1.41E-08,1.141224648,-1.80E-08,1.137546547,1.03E-08,1.14261249,4.88E-08,1.148021112,1.60E-08,1.139963874,4.64E-08,1.137901583,1.20E-08,,,,,
1.150164923,1.59E-08,1.144736037,1.27E-08,1.14472857,1.29E-08,1.151725146,1.76E-08,1.147350171,1.47E-08,1.143095841,1.28E-08,1.147176844,1.57E-08,1.153573414,2.00E-08,1.14452837,1.45E-08,1.141930363,-7.67E-08,,,,,
1.155721759,1.98E-08,1.150833525,1.65E-08,1.15082554,1.68E-08,1.157291413,2.19E-08,1.153475693,1.91E-08,1.148645136,1.60E-08,1.151741197,1.16E-08,1.159125717,2.48E-08,1.149092866,1.04E-08,1.149987924,-2.64E-08,,,,,
1.161278596,2.47E-08,1.156321265,2.06E-08,1.156312813,2.08E-08,1.16285768,2.73E-08,1.158988664,2.38E-08,1.15419443,1.99E-08,1.157226687,2.27E-08,1.164678019,1.46E-07,1.154578154,2.09E-08,1.155037031,2.15E-08,,,,,
1.166835432,3.07E-08,1.161809004,2.55E-08,1.161800086,2.59E-08,1.168423947,3.41E-08,1.164501634,2.96E-08,1.159743724,1.32E-07,1.162712177,2.83E-08,1.170230322,4.01E-08,1.160063442,2.61E-08,1.160086138,2.66E-08,,,,,
1.172392269,1.68E-07,1.167296743,3.17E-08,1.167287359,3.21E-08,1.173990215,1.76E-07,1.170014605,3.68E-08,1.165293018,3.22E-08,1.168197666,3.51E-08,1.174794482,4.59E-08,1.16554873,3.24E-08,1.165135246,3.24E-08,,,,,
1.177949105,4.96E-08,1.172784483,3.94E-08,1.172774632,3.99E-08,1.179556482,5.51E-08,1.175527575,4.57E-08,1.169856043,3.68E-08,1.173683156,4.36E-08,1.179358641,5.55E-08,1.171034018,4.03E-08,1.170184353,3.95E-08,,,,,
1.182515015,5.68E-08,1.178272222,4.89E-08,1.178261905,4.96E-08,1.184123785,6.30E-08,1.181040546,5.68E-08,1.174419067,4.45E-08,1.179168646,5.42E-08,1.183922801,6.65E-08,1.176519306,5.01E-08,1.17523346,4.83E-08,,,,,
