1v,1i,2v,2i,3v,3i,4v,4i,5v,5i,6v,6i,7v,7i,8v,8i,9v,9i,10v,10i,,,,,
1.000504212,1.01E-11,1.000504016,3.57E-11,1.000588849,1.94E-11,1.00052793,3.39E-11,1.000567383,4.70E-11,1.000603811,4.20E-11,1.000633008,4.47E-11,1.000633008,5.09E-11,1.000625977,6.19E-11,1.000629883,6.71E-11,,,,,
1.00055063,7.09E-11,1.000568733,2.60E-11,1.000656621,1.47E-11,1.00058418,3.60E-11,1.000629883,3.66E-11,1.000657422,3.14E-11,1.000689258,4.18E-11,1.000689258,4.79E-11,1.000688477,5.41E-11,1.000692383,6.01E-11,,,,,
1.000597048,1.54E-11,1.000626978,1.15E-11,1.000724394,1.90E-11,1.00064043,2.53E-11,1.000692383,2.95E-11,1.000764644,3.67E-11,1.000745508,4.39E-11,1.000745508,4.98E-11,1.000750977,5.47E-11,1.000754883,6.09E-11,,,,,
1.000643467,-4.30E-11,1.000685223,1.17E-11,1.000792167,1.92E-11,1.00069668,2.37E-11,1.000754883,3.05E-11,1.000861143,3.83E-11,1.000858008,4.39E-11,1.000858008,5.00E-11,1.000813477,5.78E-11,1.000817383,6.38E-11,,,,,
1.000736304,-1.19E-13,1.000743469,1.31E-11,1.000859939,1.86E-11,1.00075293,2.66E-11,1.000817383,3.35E-11,1.000957642,3.72E-11,1.000959258,4.31E-11,1.000970508,4.93E-11,1.000938477,5.61E-11,1.000942383,6.22E-11,,,,,
1.00082914,8.12E-11,1.000801714,1.35E-11,1.000927712,1.87E-11,1.00080918,2.51E-11,1.000879883,3.13E-11,1.001054142,3.71E-11,1.001060508,4.34E-11,1.001083008,4.96E-11,1.001050977,5.54E-11,1.001067383,6.15E-11,,,,,
1.001014814,1.94E-11,1.000918205,1.26E-11,1.000995485,1.90E-11,1.00086543,2.31E-11,1.000942383,2.88E-11,1.001150641,3.75E-11,1.001161758,4.37E-11,1.001195508,4.99E-11,1.001163477,5.60E-11,1.001192383,6.22E-11,,,,,
1.001200487,8.27E-12,1.001023046,1.26E-11,1.00113103,1.90E-11,1.00097793,2.46E-11,1.001067383,3.08E-11,1.001247141,3.76E-11,1.001263008,4.38E-11,1.001308008,5.01E-11,1.001275977,5.63E-11,1.001317383,6.26E-11,,,,,
1.001386161,3.22E-11,1.001127888,1.27E-11,1.001253021,1.90E-11,1.00107918,2.53E-11,1.001179883,3.17E-11,1.00134364,3.77E-11,1.001364258,4.40E-11,1.001420508,5.03E-11,1.001388477,5.65E-11,1.001442383,6.29E-11,,,,,
1.001757508,1.12E-10,1.001232729,1.29E-11,1.001375012,1.91E-11,1.00118043,2.51E-11,1.001292383,3.14E-11,1.001440139,3.79E-11,1.001465508,4.42E-11,1.001533008,5.06E-11,1.001500977,5.67E-11,1.001567383,6.32E-11,,,,,
1.002500202,4.19E-10,1.001337571,1.29E-11,1.001497003,1.92E-11,1.00128168,2.52E-11,1.001404883,3.15E-11,1.001536639,3.81E-11,1.001566758,4.44E-11,1.001645508,5.08E-11,1.001725977,5.73E-11,1.001692383,6.36E-11,,,,,
